sample_id,true_label,predicted_label,model_name,prob_stationary,prob_non-stationary
14159,1,0,TimeSeriesForest,0.76,0.24
14305,1,0,TimeSeriesForest,0.63,0.37
14236,1,0,TimeSeriesForest,0.63,0.37
16759,1,0,TimeSeriesForest,0.83,0.17
10641,1,0,TimeSeriesForest,0.62,0.38
16676,1,0,TimeSeriesForest,0.75,0.25
337,0,1,TimeSeriesForest,0.4,0.6
6251,0,1,TimeSeriesForest,0.47,0.53
17005,1,0,TimeSeriesForest,0.71,0.29
14307,1,0,TimeSeriesForest,0.63,0.37
16686,1,0,TimeSeriesForest,0.55,0.45
17522,1,0,TimeSeriesForest,0.63,0.37
14084,1,0,TimeSeriesForest,0.69,0.31
17139,1,0,TimeSeriesForest,0.71,0.29
16905,1,0,TimeSeriesForest,0.55,0.45
7187,0,1,TimeSeriesForest,0.48,0.52
14329,1,0,TimeSeriesForest,0.5,0.5
15218,1,0,TimeSeriesForest,0.76,0.24
14468,1,0,TimeSeriesForest,0.73,0.27
16589,1,0,TimeSeriesForest,0.77,0.23
14965,1,0,TimeSeriesForest,0.76,0.24
16422,1,0,TimeSeriesForest,0.73,0.27
16708,1,0,TimeSeriesForest,0.84,0.16
14003,1,0,TimeSeriesForest,0.67,0.33
13990,1,0,TimeSeriesForest,0.63,0.37
955,0,1,TimeSeriesForest,0.17,0.83
16981,1,0,TimeSeriesForest,0.73,0.27
14438,1,0,TimeSeriesForest,0.76,0.24
16837,1,0,TimeSeriesForest,0.75,0.25
13995,1,0,TimeSeriesForest,0.67,0.33
14588,1,0,TimeSeriesForest,0.68,0.32
15056,1,0,TimeSeriesForest,0.66,0.34
17085,1,0,TimeSeriesForest,0.56,0.44
14587,1,0,TimeSeriesForest,0.72,0.28
14995,1,0,TimeSeriesForest,0.74,0.26
4,0,1,TimeSeriesForest,0.29,0.71
14376,1,0,TimeSeriesForest,0.55,0.45
15228,1,0,TimeSeriesForest,0.75,0.25
14017,1,0,TimeSeriesForest,0.76,0.24
15266,1,0,TimeSeriesForest,0.74,0.26
17845,1,0,TimeSeriesForest,0.52,0.48
18766,1,0,TimeSeriesForest,0.96,0.04
14298,1,0,TimeSeriesForest,0.69,0.31
10748,1,0,TimeSeriesForest,0.96,0.04
15431,1,0,TimeSeriesForest,0.86,0.14
10733,1,0,TimeSeriesForest,0.98,0.02
14020,1,0,TimeSeriesForest,0.52,0.48
1039,0,1,TimeSeriesForest,0.49,0.51
866,0,1,TimeSeriesForest,0.37,0.63
17198,1,0,TimeSeriesForest,0.73,0.27
15168,1,0,TimeSeriesForest,0.7,0.3
15828,1,0,TimeSeriesForest,0.76,0.24
15115,1,0,TimeSeriesForest,0.7,0.3
699,0,1,TimeSeriesForest,0.35,0.65
15121,1,0,TimeSeriesForest,0.58,0.42
18927,1,0,TimeSeriesForest,0.53,0.47
15484,1,0,TimeSeriesForest,0.53,0.47
1149,0,1,TimeSeriesForest,0.46,0.54
6489,0,1,TimeSeriesForest,0.48,0.52
14782,1,0,TimeSeriesForest,0.73,0.27
18654,1,0,TimeSeriesForest,0.52,0.48
10618,1,0,TimeSeriesForest,0.62,0.38
14176,1,0,TimeSeriesForest,0.68,0.32
14460,1,0,TimeSeriesForest,0.55,0.45
14241,1,0,TimeSeriesForest,0.69,0.31
15191,1,0,TimeSeriesForest,0.67,0.33
16984,1,0,TimeSeriesForest,0.91,0.09
15096,1,0,TimeSeriesForest,0.58,0.42
14119,1,0,TimeSeriesForest,0.69,0.31
17182,1,0,TimeSeriesForest,0.62,0.38
14633,1,0,TimeSeriesForest,0.54,0.46
10627,1,0,TimeSeriesForest,0.63,0.37
2043,0,1,TimeSeriesForest,0.38,0.62
15196,1,0,TimeSeriesForest,0.59,0.41
14044,1,0,TimeSeriesForest,0.65,0.35
2319,0,1,TimeSeriesForest,0.36,0.64
17059,1,0,TimeSeriesForest,0.79,0.21
16927,1,0,TimeSeriesForest,0.75,0.25
7136,0,1,TimeSeriesForest,0.45,0.55
15333,1,0,TimeSeriesForest,0.58,0.42
15262,1,0,TimeSeriesForest,0.66,0.34
14644,1,0,TimeSeriesForest,0.72,0.28
19105,1,0,TimeSeriesForest,0.92,0.08
19058,1,0,TimeSeriesForest,0.53,0.47
14014,1,0,TimeSeriesForest,0.65,0.35
16715,1,0,TimeSeriesForest,0.65,0.35
19034,1,0,TimeSeriesForest,0.56,0.44
15386,1,0,TimeSeriesForest,0.68,0.32
17007,1,0,TimeSeriesForest,0.75,0.25
16218,1,0,TimeSeriesForest,0.8,0.2
1946,0,1,TimeSeriesForest,0.45,0.55
16810,1,0,TimeSeriesForest,0.63,0.37
13964,1,0,TimeSeriesForest,0.75,0.25
14572,1,0,TimeSeriesForest,0.66,0.34
16718,1,0,TimeSeriesForest,0.9,0.1
10744,1,0,TimeSeriesForest,0.59,0.41
14736,1,0,TimeSeriesForest,0.71,0.29
18857,1,0,TimeSeriesForest,0.6,0.4
3180,0,1,TimeSeriesForest,0.46,0.54
15367,1,0,TimeSeriesForest,0.71,0.29
14149,1,0,TimeSeriesForest,0.5,0.5
17094,1,0,TimeSeriesForest,0.64,0.36
14351,1,0,TimeSeriesForest,0.51,0.49
16590,1,0,TimeSeriesForest,0.71,0.29
1156,0,1,TimeSeriesForest,0.28,0.72
19059,1,0,TimeSeriesForest,0.55,0.45
10427,1,0,TimeSeriesForest,0.81,0.19
14019,1,0,TimeSeriesForest,0.78,0.22
19195,1,0,TimeSeriesForest,0.68,0.32
6838,0,1,TimeSeriesForest,0.43,0.57
17224,1,0,TimeSeriesForest,0.6,0.4
14999,1,0,TimeSeriesForest,0.57,0.43
15236,1,0,TimeSeriesForest,0.78,0.22
10609,1,0,TimeSeriesForest,0.5,0.5
5841,0,1,TimeSeriesForest,0.48,0.52
14952,1,0,TimeSeriesForest,0.59,0.41
16632,1,0,TimeSeriesForest,0.7,0.3
480,0,1,TimeSeriesForest,0.49,0.51
14614,1,0,TimeSeriesForest,0.59,0.41
14601,1,0,TimeSeriesForest,0.53,0.47
15476,1,0,TimeSeriesForest,0.54,0.46
15094,1,0,TimeSeriesForest,0.72,0.28
14618,1,0,TimeSeriesForest,0.69,0.31
15832,1,0,TimeSeriesForest,0.54,0.46
14961,1,0,TimeSeriesForest,0.76,0.24
342,0,1,TimeSeriesForest,0.17,0.83
14416,1,0,TimeSeriesForest,0.74,0.26
14320,1,0,TimeSeriesForest,0.7,0.3
411,0,1,TimeSeriesForest,0.49,0.51
14900,1,0,TimeSeriesForest,0.69,0.31
17251,1,0,TimeSeriesForest,0.7,0.3
16051,1,0,TimeSeriesForest,0.75,0.25
14721,1,0,TimeSeriesForest,0.79,0.21
7131,0,1,TimeSeriesForest,0.43,0.57
15312,1,0,TimeSeriesForest,0.65,0.35
15209,1,0,TimeSeriesForest,0.6,0.4
16078,1,0,TimeSeriesForest,0.73,0.27
14361,1,0,TimeSeriesForest,0.67,0.33
17271,1,0,TimeSeriesForest,0.52,0.48
16946,1,0,TimeSeriesForest,0.69,0.31
17020,1,0,TimeSeriesForest,0.59,0.41
15139,1,0,TimeSeriesForest,0.76,0.24
16553,1,0,TimeSeriesForest,0.66,0.34
10408,1,0,TimeSeriesForest,0.57,0.43
3242,0,1,TimeSeriesForest,0.45,0.55
16657,1,0,TimeSeriesForest,0.59,0.41
15425,1,0,TimeSeriesForest,0.61,0.39
6975,0,1,TimeSeriesForest,0.2,0.8
10659,1,0,TimeSeriesForest,0.79,0.21
14077,1,0,TimeSeriesForest,0.66,0.34
13948,1,0,TimeSeriesForest,0.77,0.23
6076,0,1,TimeSeriesForest,0.38,0.62
14259,1,0,TimeSeriesForest,0.75,0.25
17611,1,0,TimeSeriesForest,0.68,0.32
14951,1,0,TimeSeriesForest,0.66,0.34
16221,1,0,TimeSeriesForest,0.84,0.16
17130,1,0,TimeSeriesForest,0.66,0.34
14050,1,0,TimeSeriesForest,0.68,0.32
18671,1,0,TimeSeriesForest,0.98,0.02
16613,1,0,TimeSeriesForest,0.74,0.26
14637,1,0,TimeSeriesForest,0.68,0.32
17191,1,0,TimeSeriesForest,0.69,0.31
16669,1,0,TimeSeriesForest,0.75,0.25
17074,1,0,TimeSeriesForest,0.83,0.17
14478,1,0,TimeSeriesForest,0.72,0.28
15270,1,0,TimeSeriesForest,0.66,0.34
16624,1,0,TimeSeriesForest,0.83,0.17
18896,1,0,TimeSeriesForest,0.53,0.47
15192,1,0,TimeSeriesForest,0.55,0.45
16869,1,0,TimeSeriesForest,0.74,0.26
15754,1,0,TimeSeriesForest,0.62,0.38
15435,1,0,TimeSeriesForest,0.68,0.32
15140,1,0,TimeSeriesForest,0.68,0.32
15039,1,0,TimeSeriesForest,0.73,0.27
15395,1,0,TimeSeriesForest,0.67,0.33
6849,0,1,TimeSeriesForest,0.44,0.56
17024,1,0,TimeSeriesForest,0.79,0.21
14960,1,0,TimeSeriesForest,0.78,0.22
14667,1,0,TimeSeriesForest,0.67,0.33
16700,1,0,TimeSeriesForest,0.68,0.32
14699,1,0,TimeSeriesForest,0.71,0.29
1829,0,1,TimeSeriesForest,0.45,0.55
14648,1,0,TimeSeriesForest,0.84,0.16
14415,1,0,TimeSeriesForest,0.62,0.38
16260,1,0,TimeSeriesForest,0.66,0.34
16897,1,0,TimeSeriesForest,0.69,0.31
14763,1,0,TimeSeriesForest,0.71,0.29
17758,1,0,TimeSeriesForest,0.51,0.49
16403,1,0,TimeSeriesForest,0.67,0.33
2164,0,1,TimeSeriesForest,0.46,0.54
15718,1,0,TimeSeriesForest,0.68,0.32
14331,1,0,TimeSeriesForest,0.55,0.45
7338,0,1,TimeSeriesForest,0.25,0.75
15074,1,0,TimeSeriesForest,0.78,0.22
16074,1,0,TimeSeriesForest,0.65,0.35
15936,1,0,TimeSeriesForest,0.69,0.31
15058,1,0,TimeSeriesForest,0.68,0.32
14127,1,0,TimeSeriesForest,0.67,0.33
14046,1,0,TimeSeriesForest,0.59,0.41
16094,1,0,TimeSeriesForest,0.82,0.18
6894,0,1,TimeSeriesForest,0.13,0.87
788,0,1,TimeSeriesForest,0.47,0.53
15712,1,0,TimeSeriesForest,0.74,0.26
14752,1,0,TimeSeriesForest,0.62,0.38
16828,1,0,TimeSeriesForest,0.6,0.4
15368,1,0,TimeSeriesForest,0.69,0.31
14958,1,0,TimeSeriesForest,0.53,0.47
1425,0,1,TimeSeriesForest,0.07,0.93
14510,1,0,TimeSeriesForest,0.77,0.23
14543,1,0,TimeSeriesForest,0.71,0.29
16244,1,0,TimeSeriesForest,0.57,0.43
14815,1,0,TimeSeriesForest,0.64,0.36
15669,1,0,TimeSeriesForest,0.6,0.4
15235,1,0,TimeSeriesForest,0.6,0.4
14048,1,0,TimeSeriesForest,0.65,0.35
15268,1,0,TimeSeriesForest,0.66,0.34
15480,1,0,TimeSeriesForest,0.63,0.37
10441,1,0,TimeSeriesForest,0.78,0.22
14068,1,0,TimeSeriesForest,0.57,0.43
17004,1,0,TimeSeriesForest,0.9,0.1
14979,1,0,TimeSeriesForest,0.68,0.32
15248,1,0,TimeSeriesForest,0.76,0.24
17077,1,0,TimeSeriesForest,0.73,0.27
14323,1,0,TimeSeriesForest,0.63,0.37
16937,1,0,TimeSeriesForest,0.56,0.44
10482,1,0,TimeSeriesForest,0.66,0.34
16226,1,0,TimeSeriesForest,0.64,0.36
13947,1,0,TimeSeriesForest,0.69,0.31
16736,1,0,TimeSeriesForest,0.75,0.25
14310,1,0,TimeSeriesForest,0.61,0.39
15791,1,0,TimeSeriesForest,0.64,0.36
15726,1,0,TimeSeriesForest,0.63,0.37
17197,1,0,TimeSeriesForest,0.69,0.31
17562,1,0,TimeSeriesForest,0.61,0.39
1325,0,1,TimeSeriesForest,0.49,0.51
16726,1,0,TimeSeriesForest,0.71,0.29
15310,1,0,TimeSeriesForest,0.62,0.38
16699,1,0,TimeSeriesForest,0.62,0.38
14113,1,0,TimeSeriesForest,0.63,0.37
16227,1,0,TimeSeriesForest,0.65,0.35
16595,1,0,TimeSeriesForest,0.66,0.34
3714,0,1,TimeSeriesForest,0.48,0.52
5595,0,1,TimeSeriesForest,0.02,0.98
14075,1,0,TimeSeriesForest,0.59,0.41
16900,1,0,TimeSeriesForest,0.57,0.43
16913,1,0,TimeSeriesForest,0.59,0.41
196,0,1,TimeSeriesForest,0.36,0.64
1619,0,1,TimeSeriesForest,0.46,0.54
14370,1,0,TimeSeriesForest,0.64,0.36
19120,1,0,TimeSeriesForest,0.51,0.49
16067,1,0,TimeSeriesForest,0.77,0.23
18694,1,0,TimeSeriesForest,0.61,0.39
15178,1,0,TimeSeriesForest,0.74,0.26
14250,1,0,TimeSeriesForest,0.72,0.28
10463,1,0,TimeSeriesForest,0.59,0.41
10432,1,0,TimeSeriesForest,0.66,0.34
14898,1,0,TimeSeriesForest,0.62,0.38
15905,1,0,TimeSeriesForest,0.65,0.35
15686,1,0,TimeSeriesForest,0.53,0.47
16766,1,0,TimeSeriesForest,0.62,0.38
14678,1,0,TimeSeriesForest,0.64,0.36
10467,1,0,TimeSeriesForest,0.63,0.37
15213,1,0,TimeSeriesForest,0.74,0.26
14615,1,0,TimeSeriesForest,0.68,0.32
14845,1,0,TimeSeriesForest,0.6,0.4
2313,0,1,TimeSeriesForest,0.22,0.78
14956,1,0,TimeSeriesForest,0.6,0.4
5656,0,1,TimeSeriesForest,0.37,0.63
14152,1,0,TimeSeriesForest,0.68,0.32
14245,1,0,TimeSeriesForest,0.67,0.33
16935,1,0,TimeSeriesForest,0.71,0.29
14334,1,0,TimeSeriesForest,0.57,0.43
17188,1,0,TimeSeriesForest,0.6,0.4
19235,1,0,TimeSeriesForest,0.78,0.22
17025,1,0,TimeSeriesForest,0.51,0.49
1465,0,1,TimeSeriesForest,0.49,0.51
16574,1,0,TimeSeriesForest,0.68,0.32
16972,1,0,TimeSeriesForest,0.65,0.35
7028,0,1,TimeSeriesForest,0.18,0.82
14777,1,0,TimeSeriesForest,0.64,0.36
14194,1,0,TimeSeriesForest,0.8,0.2
14997,1,0,TimeSeriesForest,0.64,0.36
14700,1,0,TimeSeriesForest,0.65,0.35
14058,1,0,TimeSeriesForest,0.53,0.47
14102,1,0,TimeSeriesForest,0.62,0.38
15110,1,0,TimeSeriesForest,0.73,0.27
6261,0,1,TimeSeriesForest,0.39,0.61
4999,0,1,TimeSeriesForest,0.46,0.54
14640,1,0,TimeSeriesForest,0.64,0.36
17137,1,0,TimeSeriesForest,0.83,0.17
426,0,1,TimeSeriesForest,0.4,0.6
16053,1,0,TimeSeriesForest,0.81,0.19
13963,1,0,TimeSeriesForest,0.51,0.49
16934,1,0,TimeSeriesForest,0.69,0.31
15321,1,0,TimeSeriesForest,0.68,0.32
16662,1,0,TimeSeriesForest,0.78,0.22
17125,1,0,TimeSeriesForest,0.59,0.41
16099,1,0,TimeSeriesForest,0.83,0.17
14433,1,0,TimeSeriesForest,0.71,0.29
14139,1,0,TimeSeriesForest,0.58,0.42
15255,1,0,TimeSeriesForest,0.63,0.37
2450,0,1,TimeSeriesForest,0.37,0.63
10599,1,0,TimeSeriesForest,0.65,0.35
16788,1,0,TimeSeriesForest,0.71,0.29
15199,1,0,TimeSeriesForest,0.63,0.37
15251,1,0,TimeSeriesForest,0.71,0.29
14484,1,0,TimeSeriesForest,0.67,0.33
15620,1,0,TimeSeriesForest,0.6,0.4
15162,1,0,TimeSeriesForest,0.53,0.47
14800,1,0,TimeSeriesForest,0.73,0.27
14525,1,0,TimeSeriesForest,0.66,0.34
19216,1,0,TimeSeriesForest,0.99,0.01
14126,1,0,TimeSeriesForest,0.8,0.2
14575,1,0,TimeSeriesForest,0.82,0.18
17407,1,0,TimeSeriesForest,0.57,0.43
15706,1,0,TimeSeriesForest,0.55,0.45
14190,1,0,TimeSeriesForest,0.56,0.44
10411,1,0,TimeSeriesForest,0.79,0.21
14200,1,0,TimeSeriesForest,0.57,0.43
14722,1,0,TimeSeriesForest,0.55,0.45
17203,1,0,TimeSeriesForest,0.66,0.34
14254,1,0,TimeSeriesForest,0.62,0.38
14556,1,0,TimeSeriesForest,0.66,0.34
1052,0,1,TimeSeriesForest,0.14,0.86
10514,1,0,TimeSeriesForest,0.62,0.38
16964,1,0,TimeSeriesForest,0.87,0.13
16087,1,0,TimeSeriesForest,0.61,0.39
15809,1,0,TimeSeriesForest,0.51,0.49
14707,1,0,TimeSeriesForest,0.52,0.48
14379,1,0,TimeSeriesForest,0.64,0.36
5575,0,1,TimeSeriesForest,0.16,0.84
6435,0,1,TimeSeriesForest,0.04,0.96
14917,1,0,TimeSeriesForest,0.68,0.32
15323,1,0,TimeSeriesForest,0.8,0.2
14617,1,0,TimeSeriesForest,0.69,0.31
16255,1,0,TimeSeriesForest,0.68,0.32
14080,1,0,TimeSeriesForest,0.66,0.34
16635,1,0,TimeSeriesForest,0.8,0.2
17083,1,0,TimeSeriesForest,0.78,0.22
17195,1,0,TimeSeriesForest,0.64,0.36
15697,1,0,TimeSeriesForest,0.52,0.48
16407,1,0,TimeSeriesForest,0.56,0.44
6985,0,1,TimeSeriesForest,0.34,0.66
17061,1,0,TimeSeriesForest,0.84,0.16
14816,1,0,TimeSeriesForest,0.5,0.5
14688,1,0,TimeSeriesForest,0.78,0.22
1574,0,1,TimeSeriesForest,0.28,0.72
6057,0,1,TimeSeriesForest,0.06,0.94
10415,1,0,TimeSeriesForest,0.72,0.28
16849,1,0,TimeSeriesForest,0.67,0.33
14698,1,0,TimeSeriesForest,0.72,0.28
16870,1,0,TimeSeriesForest,0.64,0.36
17078,1,0,TimeSeriesForest,0.79,0.21
16219,1,0,TimeSeriesForest,0.9,0.1
14596,1,0,TimeSeriesForest,0.71,0.29
16627,1,0,TimeSeriesForest,0.73,0.27
15185,1,0,TimeSeriesForest,0.73,0.27
15305,1,0,TimeSeriesForest,0.75,0.25
16224,1,0,TimeSeriesForest,0.71,0.29
10523,1,0,TimeSeriesForest,0.72,0.28
14567,1,0,TimeSeriesForest,0.68,0.32
17041,1,0,TimeSeriesForest,0.9,0.1
10695,1,0,TimeSeriesForest,0.62,0.38
15211,1,0,TimeSeriesForest,0.64,0.36
6870,0,1,TimeSeriesForest,0.48,0.52
14420,1,0,TimeSeriesForest,0.64,0.36
2342,0,1,TimeSeriesForest,0.31,0.69
14740,1,0,TimeSeriesForest,0.63,0.37
15221,1,0,TimeSeriesForest,0.71,0.29
16408,1,0,TimeSeriesForest,0.7,0.3
7363,0,1,TimeSeriesForest,0.27,0.73
14022,1,0,TimeSeriesForest,0.69,0.31
730,0,1,TimeSeriesForest,0.33,0.67
13994,1,0,TimeSeriesForest,0.72,0.28
2352,0,1,TimeSeriesForest,0.36,0.64
14004,1,0,TimeSeriesForest,0.7,0.3
16951,1,0,TimeSeriesForest,0.79,0.21
16651,1,0,TimeSeriesForest,0.72,0.28
17101,1,0,TimeSeriesForest,0.8,0.2
14586,1,0,TimeSeriesForest,0.69,0.31
16412,1,0,TimeSeriesForest,0.71,0.29
14034,1,0,TimeSeriesForest,0.75,0.25
16705,1,0,TimeSeriesForest,0.8,0.2
15626,1,0,TimeSeriesForest,0.58,0.42
17081,1,0,TimeSeriesForest,0.75,0.25
15022,1,0,TimeSeriesForest,0.57,0.43
17199,1,0,TimeSeriesForest,0.85,0.15
17239,1,0,TimeSeriesForest,0.61,0.39
14890,1,0,TimeSeriesForest,0.68,0.32
15176,1,0,TimeSeriesForest,0.78,0.22
16909,1,0,TimeSeriesForest,0.7,0.3
16907,1,0,TimeSeriesForest,0.82,0.18
17215,1,0,TimeSeriesForest,0.71,0.29
16269,1,0,TimeSeriesForest,0.79,0.21
10492,1,0,TimeSeriesForest,0.66,0.34
15479,1,0,TimeSeriesForest,0.67,0.33
14518,1,0,TimeSeriesForest,0.69,0.31
15029,1,0,TimeSeriesForest,0.55,0.45
14824,1,0,TimeSeriesForest,0.77,0.23
15153,1,0,TimeSeriesForest,0.56,0.44
17053,1,0,TimeSeriesForest,0.76,0.24
17234,1,0,TimeSeriesForest,0.73,0.27
5886,0,1,TimeSeriesForest,0.45,0.55
17090,1,0,TimeSeriesForest,0.71,0.29
740,0,1,TimeSeriesForest,0.32,0.68
17211,1,0,TimeSeriesForest,0.72,0.28
14268,1,0,TimeSeriesForest,0.56,0.44
14274,1,0,TimeSeriesForest,0.59,0.41
14280,1,0,TimeSeriesForest,0.78,0.22
14059,1,0,TimeSeriesForest,0.61,0.39
14502,1,0,TimeSeriesForest,0.69,0.31
14012,1,0,TimeSeriesForest,0.66,0.34
10575,1,0,TimeSeriesForest,0.65,0.35
15117,1,0,TimeSeriesForest,0.82,0.18
5547,0,1,TimeSeriesForest,0.16,0.84
15207,1,0,TimeSeriesForest,0.77,0.23
17092,1,0,TimeSeriesForest,0.6,0.4
5524,0,1,TimeSeriesForest,0.41,0.59
16804,1,0,TimeSeriesForest,0.62,0.38
17001,1,0,TimeSeriesForest,0.63,0.37
14604,1,0,TimeSeriesForest,0.63,0.37
15247,1,0,TimeSeriesForest,0.57,0.43
15095,1,0,TimeSeriesForest,0.7,0.3
1556,0,1,TimeSeriesForest,0.27,0.73
6326,0,1,TimeSeriesForest,0.48,0.52
19147,1,0,TimeSeriesForest,0.91,0.09
14653,1,0,TimeSeriesForest,0.63,0.37
16430,1,0,TimeSeriesForest,0.9,0.1
6811,0,1,TimeSeriesForest,0.45,0.55
5712,0,1,TimeSeriesForest,0.32,0.68
14881,1,0,TimeSeriesForest,0.65,0.35
16617,1,0,TimeSeriesForest,0.69,0.31
15508,1,0,TimeSeriesForest,0.55,0.45
16887,1,0,TimeSeriesForest,0.75,0.25
15066,1,0,TimeSeriesForest,0.75,0.25
14476,1,0,TimeSeriesForest,0.7,0.3
15360,1,0,TimeSeriesForest,0.76,0.24
10434,1,0,TimeSeriesForest,0.63,0.37
14558,1,0,TimeSeriesForest,0.61,0.39
10626,1,0,TimeSeriesForest,0.65,0.35
10642,1,0,TimeSeriesForest,0.69,0.31
10402,1,0,TimeSeriesForest,0.84,0.16
14306,1,0,TimeSeriesForest,0.74,0.26
14876,1,0,TimeSeriesForest,0.82,0.18
492,0,1,TimeSeriesForest,0.27,0.73
16054,1,0,TimeSeriesForest,0.76,0.24
14750,1,0,TimeSeriesForest,0.62,0.38
16813,1,0,TimeSeriesForest,0.62,0.38
15317,1,0,TimeSeriesForest,0.76,0.24
15004,1,0,TimeSeriesForest,0.67,0.33
7157,0,1,TimeSeriesForest,0.24,0.76
18886,1,0,TimeSeriesForest,0.5,0.5
17057,1,0,TimeSeriesForest,0.62,0.38
13969,1,0,TimeSeriesForest,0.51,0.49
10766,1,0,TimeSeriesForest,0.97,0.03
14065,1,0,TimeSeriesForest,0.71,0.29
14237,1,0,TimeSeriesForest,0.58,0.42
10650,1,0,TimeSeriesForest,0.58,0.42
14514,1,0,TimeSeriesForest,0.54,0.46
14728,1,0,TimeSeriesForest,0.56,0.44
14987,1,0,TimeSeriesForest,0.61,0.39
14382,1,0,TimeSeriesForest,0.6,0.4
14712,1,0,TimeSeriesForest,0.62,0.38
15888,1,0,TimeSeriesForest,0.68,0.32
15259,1,0,TimeSeriesForest,0.6,0.4
17118,1,0,TimeSeriesForest,0.82,0.18
14262,1,0,TimeSeriesForest,0.64,0.36
14350,1,0,TimeSeriesForest,0.7,0.3
14904,1,0,TimeSeriesForest,0.58,0.42
19214,1,0,TimeSeriesForest,0.84,0.16
15311,1,0,TimeSeriesForest,0.54,0.46
6944,0,1,TimeSeriesForest,0.37,0.63
14968,1,0,TimeSeriesForest,0.79,0.21
1391,0,1,TimeSeriesForest,0.48,0.52
15412,1,0,TimeSeriesForest,0.7,0.3
6550,0,1,TimeSeriesForest,0.41,0.59
14916,1,0,TimeSeriesForest,0.69,0.31
10452,1,0,TimeSeriesForest,0.72,0.28
19238,1,0,TimeSeriesForest,0.79,0.21
14664,1,0,TimeSeriesForest,0.54,0.46
16682,1,0,TimeSeriesForest,0.75,0.25
14704,1,0,TimeSeriesForest,0.68,0.32
15441,1,0,TimeSeriesForest,0.69,0.31
15339,1,0,TimeSeriesForest,0.6,0.4
10762,1,0,TimeSeriesForest,0.91,0.09
10528,1,0,TimeSeriesForest,0.97,0.03
15044,1,0,TimeSeriesForest,0.75,0.25
15309,1,0,TimeSeriesForest,0.62,0.38
16910,1,0,TimeSeriesForest,0.88,0.12
16797,1,0,TimeSeriesForest,0.65,0.35
14661,1,0,TimeSeriesForest,0.75,0.25
16722,1,0,TimeSeriesForest,0.9,0.1
113,0,1,TimeSeriesForest,0.32,0.68
16948,1,0,TimeSeriesForest,0.68,0.32
2258,0,1,TimeSeriesForest,0.08,0.92
14611,1,0,TimeSeriesForest,0.79,0.21
6586,0,1,TimeSeriesForest,0.41,0.59
19186,1,0,TimeSeriesForest,0.97,0.03
16599,1,0,TimeSeriesForest,0.76,0.24
14512,1,0,TimeSeriesForest,0.65,0.35
5566,0,1,TimeSeriesForest,0.02,0.98
15246,1,0,TimeSeriesForest,0.74,0.26
16796,1,0,TimeSeriesForest,0.74,0.26
16976,1,0,TimeSeriesForest,0.71,0.29
17067,1,0,TimeSeriesForest,0.65,0.35
16953,1,0,TimeSeriesForest,0.81,0.19
15009,1,0,TimeSeriesForest,0.78,0.22
17129,1,0,TimeSeriesForest,0.76,0.24
5919,0,1,TimeSeriesForest,0.46,0.54
